Incident Address Display,Borough,Community Board,Police Precinct,City Council District,Created Date,Status,Resolution Action,Closed Date,X Coordinate,Y Coordinate
65 WEST 106 STREET,MANHATTAN,07 MANHATTAN,Precinct 24,8,11/24/2010 08:00 AM +0000,Closed,Cleaning crew dispatched.  Property cleaned.,03/28/2011 07:00 AM +0000,994742,230350
65 WEST 180 STREET,BRONX,05 BRONX,Precinct 46,14,11/15/2010 08:00 AM +0000,Closed,Cleaning crew dispatched.  Property cleaned.,11/22/2010 08:00 AM +0000,1009363,251009
65-06 163 STREET,QUEENS,08 QUEENS,Precinct 107,24,03/19/2011 07:00 AM +0000,Closed,Cleaning crew dispatched.  Property cleaned.,05/05/2011 07:00 AM +0000,1038075,207754
65-10 180 STREET,QUEENS,08 QUEENS,Precinct 107,24,07/13/2011 07:00 AM +0000,Open,Notice of Intent to Clean and Forever Graffiti Free Form sent,,1041764,207526
65-10 38 AVENUE,QUEENS,02 QUEENS,Precinct 108,26,03/19/2011 07:00 AM +0000,Closed,Cleaning crew dispatched.  Property cleaned.,05/03/2011 07:00 AM +0000,1012450,211423
65-10 ROOSEVELT AVENUE,QUEENS,02 QUEENS,Precinct 108,26,07/26/2011 07:00 AM +0000,Open,Notice of Intent to Clean and Forever Graffiti Free Form sent,,1012331,211109
65-11 QUEENS BOULEVARD,QUEENS,02 QUEENS,Precinct 108,26,10/09/2010 07:00 AM +0000,Closed,Cleaning crew dispatched.  Property cleaned.,11/24/2010 08:00 AM +0000,1011901,209250
65-13 MYRTLE AVENUE,QUEENS,05 QUEENS,Precinct 104,30,08/17/2011 07:00 AM +0000,Open,Site to be cleaned.,,1014779,194757
65-14 38 AVENUE,QUEENS,02 QUEENS,Precinct 108,26,03/19/2011 07:00 AM +0000,Closed,Cleaning crew dispatched.  Property cleaned.,03/30/2011 07:00 AM +0000,1012548,211427
65-33 AUSTIN STREET,QUEENS,06 QUEENS,Precinct 112,29,07/20/2011 07:00 AM +0000,Open,Site downloaded for cleaning,,1023156,203754
65-35 AUSTIN STREET,QUEENS,06 QUEENS,Precinct 112,29,07/20/2011 07:00 AM +0000,Open,Notice of Intent to Clean and Forever Graffiti Free Form sent,,1023163,203746
65-38 BOOTH STREET,QUEENS,06 QUEENS,Precinct 112,29,04/22/2011 07:00 AM +0000,Open,Site downloaded for cleaning,,1023453,204149
65-38 BOOTH STREET,QUEENS,06 QUEENS,Precinct 112,29,08/08/2011 07:00 AM +0000,Open,Notice of Intent to Clean and Forever Graffiti Free Form sent,,1023453,204149
65-55 FRESH MEADOW LANE,QUEENS,08 QUEENS,Precinct 107,24,08/04/2011 07:00 AM +0000,Open,Site downloaded for cleaning,,1041180,207104
65-55 WOODHAVEN BOULEVARD,QUEENS,06 QUEENS,Precinct 112,29,10/25/2010 07:00 AM +0000,Closed,Cleaning crew dispatched.  Property cleaned.,12/09/2010 08:00 AM +0000,1021969,201132
65-57 79 PLACE,QUEENS,05 QUEENS,Precinct 104,30,12/14/2010 08:00 AM +0000,Closed,Cleaning crew dispatched.  Property cleaned.,02/25/2011 08:00 AM +0000,1019400,200422
65-70 AUSTIN STREET,QUEENS,06 QUEENS,Precinct 112,29,07/12/2011 07:00 AM +0000,Open,Site downloaded for cleaning,,1023375,203555
650 9 AVENUE,MANHATTAN,04 MANHATTAN,Precinct 18,3,05/27/2011 07:00 AM +0000,Closed,Cleaning crew dispatched.  Property cleaned.,07/11/2011 07:00 AM +0000,986746,216408
650 CASANOVA STREET,BRONX,02 BRONX,Precinct 41,17,09/16/2010 07:00 AM +0000,Closed,Cleaning crew dispatched.  Property cleaned.,09/17/2010 07:00 AM +0000,1014739,235416
650 CASANOVA STREET,BRONX,Unspecified BRONX,Unspecified,17,05/12/2011 07:00 AM +0000,Closed,Cleaning crew dispatched.  Property cleaned.,05/12/2011 07:00 AM +0000,1014739,235416
650 FULTON STREET,BROOKLYN,02 BROOKLYN,Precinct 88,35,02/24/2011 08:00 AM +0000,Closed,Cleaning crew dispatched.  Property cleaned.,04/14/2011 07:00 AM +0000,990921,189539
650 METROPOLITAN AVENUE,BROOKLYN,01 BROOKLYN,Precinct 90,34,05/23/2011 07:00 AM +0000,Closed,Cleaning crew dispatched.  Property cleaned.,06/27/2011 07:00 AM +0000,998879,199503
650 MORRIS PARK AVENUE,BRONX,11 BRONX,Precinct 49,15,06/03/2011 07:00 AM +0000,Closed,Cleaning crew dispatched.  Property cleaned.,07/26/2011 07:00 AM +0000,1020869,247124
650 RANDALL AVE,BRONX,Unspecified BRONX,Unspecified,,06/30/2011 07:00 AM +0000,Open,Unspecified,,,
650 VICTORY BOULEVARD,STATEN ISLAND,01 STATEN ISLAND,Precinct 120,49,05/12/2011 07:00 AM +0000,Open,Site downloaded for cleaning,,958921,167735
650 WEST 173 STREET,MANHATTAN,Unspecified MANHATTAN,Unspecified,,03/03/2011 08:00 AM +0000,Closed,Cleaning crew dispatched.  Property cleaned.,05/13/2011 07:00 AM +0000,,
651 BARBEY STREET,BROOKLYN,05 BROOKLYN,Precinct 75,42,03/13/2011 08:00 AM +0000,Closed,Cleaning crew dispatched.  Property cleaned.,04/29/2011 07:00 AM +0000,1015896,182141
651 LEVERETT AVENUE,STATEN ISLAND,03 STATEN ISLAND,Precinct 123,51,04/22/2011 07:00 AM +0000,Closed,Cleaning crew dispatched.  Property cleaned.,05/20/2011 07:00 AM +0000,937304,141452
651 WEST 188 STREET,MANHATTAN,12 MANHATTAN,Precinct 34,10,04/07/2011 07:00 AM +0000,Closed,Cleaning crew dispatched. No graffiti on property.,06/01/2011 07:00 AM +0000,1003083,250522
6516 14 AVENUE,BROOKLYN,10 BROOKLYN,Precinct 68,43,05/25/2011 07:00 AM +0000,Closed,Cleaning crew dispatched.  Property cleaned.,07/08/2011 07:00 AM +0000,984391,166799
652 CONEY ISLAND AVENUE,BROOKLYN,12 BROOKLYN,Precinct 66,40,04/15/2011 07:00 AM +0000,Closed,Cleaning crew dispatched.  Property cleaned.,05/11/2011 07:00 AM +0000,992737,172967
652 EAST 233 STREET,BRONX,12 BRONX,Precinct 47,12,07/08/2011 07:00 AM +0000,Open,Site downloaded for cleaning,,1023223,264987
652 EAST 6 STREET,MANHATTAN,Unspecified MANHATTAN,Unspecified,,03/03/2011 08:00 AM +0000,Closed,Cleaning crew dispatched.  Property cleaned.,05/11/2011 07:00 AM +0000,,
652 FRANKLIN AVENUE,BROOKLYN,08 BROOKLYN,Precinct 77,35,02/16/2011 08:00 AM +0000,Closed,Cleaning crew dispatched.  Property cleaned.,03/25/2011 07:00 AM +0000,996452,185606
652 SOUTHERN BOULEVARD,BRONX,02 BRONX,Precinct 41,17,08/15/2011 07:00 AM +0000,Open,Notice of Intent to Clean and Forever Graffiti Free Form sent,,1011752,235532
652 WEST 160 STREET,MANHATTAN,12 MANHATTAN,Precinct 33,7,02/01/2011 08:00 AM +0000,Closed,Cleaning crew dispatched.  Property cleaned.,04/29/2011 07:00 AM +0000,999337,244129
652 WEST 160 STREET,MANHATTAN,12 MANHATTAN,Precinct 33,7,06/14/2011 07:00 AM +0000,Open,Site downloaded for cleaning,,999337,244129
6520 NEW UTRECHT AVENUE,BROOKLYN,11 BROOKLYN,Precinct 62,38,04/06/2011 07:00 AM +0000,Closed,Cleaning crew dispatched.  Property cleaned.,04/11/2011 07:00 AM +0000,984864,166410
653 EAST 183 STREET,BRONX,06 BRONX,Precinct 48,15,04/15/2011 07:00 AM +0000,Open,Unspecified,,1015395,249905
653 EAST 183 STREET,BRONX,06 BRONX,Precinct 48,15,07/15/2011 07:00 AM +0000,Open,Unspecified,,1015395,249905
653 FLATBUSH AVENUE,BROOKLYN,09 BROOKLYN,Precinct 71,40,05/03/2011 07:00 AM +0000,Closed,Cleaning crew dispatched.  Property cleaned.,06/28/2011 07:00 AM +0000,995270,178813
654 EAST 226 STREET,BRONX,12 BRONX,Precinct 47,12,04/06/2011 07:00 AM +0000,Closed,Cleaning crew dispatched.  Property cleaned.,05/24/2011 07:00 AM +0000,1022470,263210
654 EAST 4 STREET,BROOKLYN,12 BROOKLYN,Precinct 66,39,09/20/2010 07:00 AM +0000,Closed,Cleaning crew dispatched.  Property cleaned.,10/29/2010 07:00 AM +0000,991148,171140
654 SACKETT STREET,BROOKLYN,06 BROOKLYN,Precinct 78,33,07/14/2011 07:00 AM +0000,Open,Notice of Intent to Clean and Forever Graffiti Free Form sent,,988864,186412
655 WEST 190 STREET,MANHATTAN,12 MANHATTAN,Precinct 34,10,11/17/2010 08:00 AM +0000,Closed,Cleaning crew dispatched.  Property cleaned.,03/28/2011 07:00 AM +0000,1003313,250977
655 WEST 190 STREET,MANHATTAN,12 MANHATTAN,Precinct 34,10,04/07/2011 07:00 AM +0000,Closed,Cleaning crew dispatched. No graffiti on property.,06/01/2011 07:00 AM +0000,1003313,250977
656 74 STREET,BROOKLYN,10 BROOKLYN,Precinct 68,43,04/19/2011 07:00 AM +0000,Open,Unspecified,,979083,168084
656 AMSTERDAM AVENUE,MANHATTAN,07 MANHATTAN,Precinct 24,6,02/25/2011 08:00 AM +0000,Closed,Cleaning crew dispatched.  Property cleaned.,05/24/2011 07:00 AM +0000,991955,227678
656 MORRIS PARK AVENUE,BRONX,11 BRONX,Precinct 49,15,07/26/2011 07:00 AM +0000,Open,Notice of Intent to Clean and Forever Graffiti Free Form sent,,1020917,247137
656 WEST 162 STREET,MANHATTAN,12 MANHATTAN,Precinct 33,7,04/07/2011 07:00 AM +0000,Closed,Cleaning crew dispatched. No graffiti on property.,05/27/2011 07:00 AM +0000,999514,244631
656 WEST 178 STREET,MANHATTAN,12 MANHATTAN,Precinct 33,10,02/03/2011 08:00 AM +0000,Closed,Cleaning crew dispatched.  Property cleaned.,04/27/2011 07:00 AM +0000,1001717,248252
656A EAST 52 STREET,BROOKLYN,17 BROOKLYN,Precinct 67,45,08/02/2011 07:00 AM +0000,Open,Notice of Intent to Clean and Forever Graffiti Free Form sent,,1004336,173947
657 2 AVENUE,MANHATTAN,06 MANHATTAN,Precinct 17,4,10/08/2010 07:00 AM +0000,Closed,Cleaning crew dispatched. No graffiti on property.,10/19/2010 07:00 AM +0000,991154,211025
657 5 AVENUE,MANHATTAN,05 MANHATTAN,Precinct 18,3,11/24/2010 08:00 AM +0000,Closed,Cleaning crew dispatched. No graffiti on property.,03/21/2011 07:00 AM +0000,990852,216141
657 AMSTERDAM AVENUE,MANHATTAN,Unspecified MANHATTAN,Unspecified,,12/17/2010 08:00 AM +0000,Closed,Cleaning crew dispatched.  Property cleaned.,05/10/2011 07:00 AM +0000,,
657 UTICA AVENUE,BROOKLYN,17 BROOKLYN,Precinct 67,41,12/01/2010 08:00 AM +0000,Closed,Cleaning crew dispatched.  Owner refused.,12/07/2010 08:00 AM +0000,1003401,178799
658 8 AVENUE,MANHATTAN,05 MANHATTAN,Precinct 14,3,03/29/2011 07:00 AM +0000,Closed,Cleaning crew dispatched. No graffiti on property.,06/29/2011 07:00 AM +0000,987061,215120
658 9 AVENUE,MANHATTAN,04 MANHATTAN,Precinct 18,3,05/27/2011 07:00 AM +0000,Closed,Cleaning crew dispatched.  Property cleaned.,07/08/2011 07:00 AM +0000,986783,216473
658 EAST 3 STREET,BROOKLYN,12 BROOKLYN,Precinct 66,39,09/20/2010 07:00 AM +0000,Closed,Cleaning crew dispatched.  Property cleaned.,10/29/2010 07:00 AM +0000,990894,171078
659 OCEAN AVENUE,BROOKLYN,14 BROOKLYN,Precinct 70,40,12/20/2010 08:00 AM +0000,Closed,Cleaning crew dispatched.  Property cleaned.,03/01/2011 08:00 AM +0000,995254,174873
66 9 AVENUE,MANHATTAN,04 MANHATTAN,Precinct 10,3,01/05/2011 08:00 AM +0000,Closed,Cleaning crew dispatched. No graffiti on property.,03/03/2011 08:00 AM +0000,982896,209458
66 CHERRY STREET,BROOKLYN,01 BROOKLYN,Precinct 94,34,08/16/2011 07:00 AM +0000,Open,Notice of Intent to Clean and Forever Graffiti Free Form sent,,1002227,203277
66 CRESCENT STREET,BROOKLYN,05 BROOKLYN,Precinct 75,37,04/04/2011 07:00 AM +0000,Closed,Cleaning crew dispatched.  Property cleaned.,04/29/2011 07:00 AM +0000,1019323,189887
66 HALE AVENUE,BROOKLYN,05 BROOKLYN,Precinct 75,37,07/28/2011 07:00 AM +0000,Open,Site downloaded for cleaning,,1017307,188396
66 JANE STREET,MANHATTAN,02 MANHATTAN,Precinct 6,3,07/28/2011 07:00 AM +0000,Open,Unspecified,,982493,208198
66 LEONARD STREET,BROOKLYN,01 BROOKLYN,Precinct 90,34,08/17/2011 07:00 AM +0000,Open,Unspecified,,999167,196233
66 MERCER STREET,MANHATTAN,02 MANHATTAN,Precinct 1,1,02/24/2011 08:00 AM +0000,Closed,Cleaning crew dispatched. No graffiti on property.,04/21/2011 07:00 AM +0000,984117,202457
66 OVERLOOK TERRACE,MANHATTAN,12 MANHATTAN,Precinct 34,7,04/07/2011 07:00 AM +0000,Open,Site downloaded for cleaning,,1001992,250863
66 THROOP AVENUE,BROOKLYN,01 BROOKLYN,Precinct 90,33,05/04/2011 07:00 AM +0000,Open,Site downloaded for cleaning,,998943,195353
66 WEST 116 STREET,MANHATTAN,10 MANHATTAN,Precinct 28,9,02/15/2011 08:00 AM +0000,Closed,Cleaning crew dispatched.  Property cleaned.,04/27/2011 07:00 AM +0000,998396,231357
66 WEST 116 STREET,MANHATTAN,10 MANHATTAN,Precinct 28,9,05/13/2011 07:00 AM +0000,Open,Site to be cleaned.,,998396,231357
66 WEST 125 STREET,MANHATTAN,10 MANHATTAN,Precinct 28,9,02/15/2011 08:00 AM +0000,Closed,Cleaning crew dispatched.  Property cleaned.,04/07/2011 07:00 AM +0000,999697,233375
66 WEST 84 STREET,MANHATTAN,07 MANHATTAN,Precinct 20,6,01/17/2011 08:00 AM +0000,Open,Unspecified,,991990,225167
66 WINDSOR PLACE,BROOKLYN,07 BROOKLYN,Precinct 72,39,12/15/2010 08:00 AM +0000,Closed,Cleaning crew dispatched.  Property cleaned.,03/02/2011 08:00 AM +0000,989028,179990
66-00 LONG ISLAND EXPRESSWAY,QUEENS,05 QUEENS,Precinct 104,30,02/24/2011 08:00 AM +0000,Open,Site downloaded for cleaning,,1012531,203526
66-02 FRESH POND ROAD,QUEENS,05 QUEENS,Precinct 104,30,10/01/2010 07:00 AM +0000,Closed,Cleaning crew dispatched.  Property cleaned.,11/17/2010 08:00 AM +0000,1012428,197562
66-05 WOODHAVEN BOULEVARD,QUEENS,06 QUEENS,Precinct 112,29,07/27/2011 07:00 AM +0000,Open,Site downloaded for cleaning,,1022112,200940
66-19 FRESH POND ROAD,QUEENS,05 QUEENS,Precinct 104,30,01/07/2011 08:00 AM +0000,Closed,Cleaning crew dispatched.  Property cleaned.,03/21/2011 07:00 AM +0000,1012512,197419
66-39 FRESH POND ROAD,QUEENS,05 QUEENS,Precinct 104,30,01/07/2011 08:00 AM +0000,Closed,Cleaning crew dispatched.  Property cleaned.,03/21/2011 07:00 AM +0000,1012634,197185
66-67 FRESH POND ROAD,QUEENS,05 QUEENS,Precinct 104,30,02/21/2011 08:00 AM +0000,Closed,Cleaning crew dispatched.  Property cleaned.,04/06/2011 07:00 AM +0000,1012779,196818
66-68 78 STREET,QUEENS,05 QUEENS,Precinct 104,30,04/20/2011 07:00 AM +0000,Closed,Cleaning crew dispatched.  Property cleaned.,05/03/2011 07:00 AM +0000,1018824,199305
66-68 78 STREET,QUEENS,05 QUEENS,Precinct 104,30,06/15/2011 07:00 AM +0000,Closed,Cleaning crew dispatched.  Property cleaned.,06/23/2011 07:00 AM +0000,1018824,199305
66-79 FOREST AVENUE,QUEENS,05 QUEENS,Precinct 104,30,05/16/2011 07:00 AM +0000,Closed,Cleaning crew dispatched.  Property cleaned.,06/29/2011 07:00 AM +0000,1011380,196226
66-90 60 PLACE,QUEENS,05 QUEENS,Precinct 104,30,05/26/2011 07:00 AM +0000,Open,Site downloaded for cleaning,,1012026,196292
66-94 FOREST AVENUE,QUEENS,05 QUEENS,Precinct 104,30,10/01/2010 07:00 AM +0000,Closed,Cleaning crew dispatched.  Property cleaned.,10/15/2010 07:00 AM +0000,1011375,196224
660 86 STREET,BROOKLYN,10 BROOKLYN,Precinct 68,43,04/19/2011 07:00 AM +0000,Open,Site downloaded for cleaning,,978183,164737
660 EAST 233 STREET,BRONX,12 BRONX,Precinct 47,12,07/08/2011 07:00 AM +0000,Open,Site downloaded for cleaning,,1023276,264965
660 MCDONALD AVENUE,BROOKLYN,12 BROOKLYN,Precinct 66,39,08/15/2011 07:00 AM +0000,Open,Notice of Intent to Clean and Forever Graffiti Free Form sent,,990162,171844
660 PROSPECT AVENUE,BRONX,02 BRONX,Precinct 41,17,05/10/2011 07:00 AM +0000,Open,Site downloaded for cleaning,,1011017,236392
660 WEST 180 STREET,MANHATTAN,Unspecified MANHATTAN,Unspecified,,03/03/2011 08:00 AM +0000,Closed,Cleaning crew dispatched. No graffiti on property.,05/11/2011 07:00 AM +0000,,
660 WEST 190 STREET,MANHATTAN,12 MANHATTAN,Precinct 34,10,05/06/2011 07:00 AM +0000,Open,Site to be cleaned.,,1003302,250976
6601 BAY PARKWAY,BROOKLYN,11 BROOKLYN,Precinct 62,44,03/23/2011 07:00 AM +0000,Closed,Cleaning crew dispatched.  Property cleaned.,03/31/2011 07:00 AM +0000,989306,162792
6602 11 AVENUE,BROOKLYN,10 BROOKLYN,Precinct 68,43,05/25/2011 07:00 AM +0000,Closed,Cleaning crew dispatched.  Property cleaned.,06/02/2011 07:00 AM +0000,982402,168056
661 5 AVENUE,BROOKLYN,07 BROOKLYN,Precinct 72,38,10/21/2010 07:00 AM +0000,Closed,Cleaning crew dispatched.  Property cleaned.,12/02/2010 08:00 AM +0000,986345,180559
661 FIRST AVENUE,MANHATTAN,06 MANHATTAN,Precinct 17,4,09/21/2010 07:00 AM +0000,Open,Unspecified,,992082,211146
662 DRIGGS AVENUE,BROOKLYN,01 BROOKLYN,Precinct 90,34,11/01/2010 07:00 AM +0000,Closed,Cleaning crew dispatched.  Property cleaned.,12/17/2010 08:00 AM +0000,995596,199626
662 WEST 184 STREET,MANHATTAN,12 MANHATTAN,Precinct 34,10,01/07/2011 08:00 AM +0000,Closed,Cleaning crew dispatched.  Property cleaned.,04/22/2011 07:00 AM +0000,1002472,249615
663 DAWSON STREET,BRONX,02 BRONX,Precinct 41,17,04/12/2011 07:00 AM +0000,Open,Site downloaded for cleaning,,1011316,236747
663 FRANKLIN AVENUE,BROOKLYN,08 BROOKLYN,Precinct 77,35,05/04/2011 07:00 AM +0000,Closed,Cleaning crew dispatched.  Property cleaned.,06/23/2011 07:00 AM +0000,996421,185472
663 LIBERTY AVENUE,BROOKLYN,05 BROOKLYN,Precinct 75,37,04/19/2011 07:00 AM +0000,Closed,Cleaning crew dispatched.  Property cleaned.,05/31/2011 07:00 AM +0000,1016075,185611
663 WASHINGTON AVENUE,BROOKLYN,08 BROOKLYN,Precinct 77,35,12/02/2010 08:00 AM +0000,Closed,Cleaning crew dispatched.  Property cleaned.,03/02/2011 08:00 AM +0000,994329,186049
6635 WALLASTON COURT,BROOKLYN,11 BROOKLYN,Precinct 62,44,05/09/2011 07:00 AM +0000,Closed,Cleaning crew dispatched.  Property cleaned.,06/22/2011 07:00 AM +0000,985906,165154
664 50 STREET,BROOKLYN,07 BROOKLYN,Precinct 72,38,11/23/2010 08:00 AM +0000,Closed,Cleaning crew dispatched.  Property cleaned.,12/07/2010 08:00 AM +0000,982367,173524
664 64 STREET,BROOKLYN,10 BROOKLYN,Precinct 68,38,04/22/2011 07:00 AM +0000,Open,Site downloaded for cleaning,,980092,170654
664 EAST 233 STREET,BRONX,12 BRONX,Precinct 47,12,07/08/2011 07:00 AM +0000,Open,Site downloaded for cleaning,,1023303,264954
664 HENRY STREET,BROOKLYN,06 BROOKLYN,Precinct 76,39,01/23/2011 08:00 AM +0000,Closed,Cleaning crew dispatched.  Property cleaned.,03/09/2011 08:00 AM +0000,983669,186493
664 HENRY STREET,BROOKLYN,06 BROOKLYN,Precinct 76,39,06/21/2011 07:00 AM +0000,Closed,Cleaning crew dispatched.  Property cleaned.,07/05/2011 07:00 AM +0000,983669,186493
664 SAGAMORE STREET,BRONX,11 BRONX,Precinct 49,15,04/13/2011 07:00 AM +0000,Closed,Cleaning crew dispatched.  Property cleaned.,06/06/2011 07:00 AM +0000,1020687,248598
664 WASHINGTON AVENUE,BROOKLYN,08 BROOKLYN,Precinct 77,35,08/08/2011 07:00 AM +0000,Open,Notice of Intent to Clean and Forever Graffiti Free Form sent,,994274,186383
664 WEST 163 STREET,MANHATTAN,12 MANHATTAN,Precinct 33,7,01/05/2011 08:00 AM +0000,Closed,Cleaning crew dispatched.  Property cleaned.,04/27/2011 07:00 AM +0000,999572,244894
665 EAST 181 STREET,BRONX,06 BRONX,Precinct 48,15,01/04/2011 08:00 AM +0000,Closed,Cleaning crew dispatched.  Property cleaned.,03/01/2011 08:00 AM +0000,1014962,248740
665 EAST 181 STREET,BRONX,06 BRONX,Precinct 48,15,05/06/2011 07:00 AM +0000,Closed,Cleaning crew dispatched.  Property cleaned.,06/23/2011 07:00 AM +0000,1014962,248740
665 FRANKLIN AVENUE,BROOKLYN,08 BROOKLYN,Precinct 77,35,01/04/2011 08:00 AM +0000,Closed,Cleaning crew dispatched.  Property cleaned.,02/24/2011 08:00 AM +0000,996416,185455
665 FRANKLIN AVENUE,BROOKLYN,08 BROOKLYN,Precinct 77,35,05/04/2011 07:00 AM +0000,Closed,Cleaning crew dispatched.  Property cleaned.,06/23/2011 07:00 AM +0000,996416,185455
665 WEST 182 STREET,MANHATTAN,12 MANHATTAN,Precinct 34,10,07/06/2011 07:00 AM +0000,Open,Site downloaded for cleaning,,1002265,249168
666 DEAN STREET,BROOKLYN,08 BROOKLYN,Precinct 77,35,01/04/2011 08:00 AM +0000,Closed,Cleaning crew dispatched.  Property cleaned.,03/02/2011 08:00 AM +0000,992980,187129
666 EAST 5 STREET,BROOKLYN,12 BROOKLYN,Precinct 66,39,10/25/2010 07:00 AM +0000,Closed,Cleaning crew dispatched.  Property cleaned.,02/28/2011 08:00 AM +0000,991453,170852
666 WEST 162 STREET,MANHATTAN,12 MANHATTAN,Precinct 33,7,04/07/2011 07:00 AM +0000,Closed,Cleaning crew dispatched. No graffiti on property.,05/27/2011 07:00 AM +0000,999465,244658
6663 BERGEN PLACE,BROOKLYN,10 BROOKLYN,Precinct 68,43,04/11/2011 07:00 AM +0000,Closed,Cleaning crew dispatched.  Property cleaned.,05/13/2011 07:00 AM +0000,976431,172239
667 52 STREET,BROOKLYN,07 BROOKLYN,Precinct 72,38,03/25/2011 07:00 AM +0000,Closed,Cleaning crew dispatched.  Property cleaned.,05/13/2011 07:00 AM +0000,982056,173115
667 BERGEN STREET,BROOKLYN,08 BROOKLYN,Precinct 77,35,01/04/2011 08:00 AM +0000,Closed,Cleaning crew dispatched.  Property cleaned.,03/02/2011 08:00 AM +0000,993410,186718
667 BERGEN STREET,BROOKLYN,08 BROOKLYN,Precinct 77,35,04/07/2011 07:00 AM +0000,Closed,Cleaning crew dispatched.  Property cleaned.,05/20/2011 07:00 AM +0000,993410,186718
667 CLASSON AVENUE,BROOKLYN,08 BROOKLYN,Precinct 77,35,11/03/2010 07:00 AM +0000,Closed,Cleaning crew dispatched.  Property cleaned.,02/24/2011 08:00 AM +0000,995578,186067
667 LORIMER STREET,BROOKLYN,01 BROOKLYN,Precinct 94,33,08/16/2011 07:00 AM +0000,Open,Notice of Intent to Clean and Forever Graffiti Free Form sent,,998151,200489
667 METROPOLITAN AVENUE,BROOKLYN,01 BROOKLYN,Precinct 94,34,11/05/2010 07:00 AM +0000,Closed,Cleaning crew dispatched.  Property cleaned.,11/19/2010 08:00 AM +0000,999006,199525
667 WASHINGTON AVENUE,BROOKLYN,08 BROOKLYN,Precinct 77,35,12/02/2010 08:00 AM +0000,Closed,Cleaning crew dispatched.  Property cleaned.,03/02/2011 08:00 AM +0000,994334,186013
668 CRESCENT AVENUE,BRONX,06 BRONX,Precinct 48,15,04/14/2011 07:00 AM +0000,Closed,Cleaning crew dispatched.  Property cleaned.,05/18/2011 07:00 AM +0000,1015857,250510
668 CRESCENT AVENUE,BRONX,06 BRONX,Precinct 48,15,06/17/2011 07:00 AM +0000,Closed,Cleaning crew dispatched.  Property cleaned.,07/14/2011 07:00 AM +0000,1015857,250510
668 GRANDVIEW AVENUE,QUEENS,05 QUEENS,Precinct 104,30,10/01/2010 07:00 AM +0000,Closed,Cleaning crew dispatched. No graffiti on property.,11/18/2010 08:00 AM +0000,1010808,197105
669 CONEY ISLAND AVENUE,BROOKLYN,14 BROOKLYN,Precinct 70,40,04/15/2011 07:00 AM +0000,Closed,Cleaning crew dispatched.  Property cleaned.,06/01/2011 07:00 AM +0000,992780,172800
